symbol,prediction_date,test_day,test_date,confidence_score,predicted_price,predicted_min,predicted_max,actual_low,actual_high,actual_close,touched_range,prediction_accuracy
HDFCBANK.NS,2025-07-26,D-3,2025-07-23,1.0,2019.2402784003216,1992.8548698350987,2041.4160810926355,2009.4000244140625,2034.4000244140625,2011.699951171875,True,HIT
HDFCBANK.NS,2025-07-26,D-2,2025-07-24,1.0,2019.2402784003216,1992.8548698350987,2041.4160810926355,1999.0,2013.800048828125,2004.5999755859375,True,HIT
HDFCBANK.NS,2025-07-25,D-3,2025-07-22,3.0,2042.6387487240956,2016.2475025518083,2064.7724974481916,2003.0,2029.800048828125,2025.0,True,HIT
HDFCBANK.NS,2025-07-25,D-2,2025-07-23,3.0,2042.6387487240956,2016.2475025518083,2064.7724974481916,2009.4000244140625,2034.4000244140625,2011.699951171875,True,HIT
HDFCBANK.NS,2025-07-25,D-1,2025-07-24,3.0,2042.6387487240956,2016.2475025518083,2064.7724974481916,1999.0,2013.800048828125,2004.5999755859375,False,MISS
HDFCBANK.NS,2025-07-24,D-3,2025-07-21,0.5,1969.0246040408495,1943.9378652825592,1990.4361837897065,2003.0,2018.0,2007.0999755859375,False,MISS
HDFCBANK.NS,2025-07-24,D-2,2025-07-22,0.5,1969.0246040408495,1943.9378652825592,1990.4361837897065,2003.0,2029.800048828125,2025.0,False,MISS
HDFCBANK.NS,2025-07-24,D-1,2025-07-23,0.5,1969.0246040408495,1943.9378652825592,1990.4361837897065,2009.4000244140625,2034.4000244140625,2011.699951171875,False,MISS
HDFCBANK.NS,2025-07-24,D-0,2025-07-24,0.5,1969.0246040408495,1943.9378652825592,1990.4361837897065,1999.0,2013.800048828125,2004.5999755859375,False,MISS
HDFCBANK.NS,2025-07-23,D-3,2025-07-20,0.5,1969.0314193606448,1943.924234642968,1990.4498144292975,1976.5,2002.0,2000.5,True,HIT
HDFCBANK.NS,2025-07-23,D-2,2025-07-21,0.5,1969.0314193606448,1943.924234642968,1990.4498144292975,2003.0,2018.0,2007.0999755859375,False,MISS
HDFCBANK.NS,2025-07-23,D-1,2025-07-22,0.5,1969.0314193606448,1943.924234642968,1990.4498144292975,2003.0,2029.800048828125,2025.0,False,MISS
HDFCBANK.NS,2025-07-23,D-0,2025-07-23,0.5,1969.0314193606448,1943.924234642968,1990.4498144292975,2009.4000244140625,2034.4000244140625,2011.699951171875,False,MISS
HDFCBANK.NS,2025-07-22,D-2,2025-07-20,0.5,1969.0309618831845,1943.9251495978892,1990.4488994743765,1976.5,2002.0,2000.5,True,HIT
HDFCBANK.NS,2025-07-22,D-1,2025-07-21,0.5,1969.0309618831845,1943.9251495978892,1990.4488994743765,2003.0,2018.0,2007.0999755859375,False,MISS
HDFCBANK.NS,2025-07-22,D-0,2025-07-22,0.5,1969.0309618831845,1943.9251495978892,1990.4488994743765,2003.0,2029.800048828125,2025.0,False,MISS
HDFCBANK.NS,2025-07-21,D-1,2025-07-20,1.0,1997.2929840396841,1971.841531920632,2019.013468079368,1976.5,2002.0,2000.5,True,HIT
HDFCBANK.NS,2025-07-21,D-0,2025-07-21,1.0,1997.2929840396841,1971.841531920632,2019.013468079368,2003.0,2018.0,2007.0999755859375,True,HIT
HDFCBANK.NS,2025-07-20,D-3,2025-07-17,3.0,2037.8041783447509,2012.191643310498,2059.648356689502,1953.0,1996.800048828125,1957.4000244140625,False,MISS
HDFCBANK.NS,2025-07-20,D-0,2025-07-20,3.0,2037.8041783447509,2012.191643310498,2059.648356689502,1976.5,2002.0,2000.5,False,MISS
HDFCBANK.NS,2025-07-19,D-3,2025-07-16,1.0,2009.1511596412442,1983.5843274460267,2030.9887706985044,1983.0999755859375,2002.0999755859375,1985.5,True,HIT
HDFCBANK.NS,2025-07-19,D-2,2025-07-17,1.0,2009.1511596412442,1983.5843274460267,2030.9887706985044,1953.0,1996.800048828125,1957.4000244140625,True,HIT
HDFCBANK.NS,2025-07-18,D-3,2025-07-15,3.0,2021.9725797230683,1996.5798405538635,2043.6401594461365,1993.0,2020.9000244140625,1996.0,True,HIT
HDFCBANK.NS,2025-07-18,D-2,2025-07-16,3.0,2021.9725797230683,1996.5798405538635,2043.6401594461365,1983.0999755859375,2002.0999755859375,1985.5,True,HIT
HDFCBANK.NS,2025-07-18,D-1,2025-07-17,3.0,2021.9725797230683,1996.5798405538635,2043.6401594461365,1953.0,1996.800048828125,1957.4000244140625,True,HIT
HDFCBANK.NS,2025-07-17,D-3,2025-07-14,1.5,2009.5628151563587,1989.0614436618916,2026.3111057765848,1976.4000244140625,2003.300048828125,1997.300048828125,True,HIT
HDFCBANK.NS,2025-07-17,D-2,2025-07-15,1.5,2009.5628151563587,1989.0614436618916,2026.3111057765848,1993.0,2020.9000244140625,1996.0,True,HIT
HDFCBANK.NS,2025-07-17,D-1,2025-07-16,1.5,2009.5628151563587,1989.0614436618916,2026.3111057765848,1983.0999755859375,2002.0999755859375,1985.5,True,HIT
HDFCBANK.NS,2025-07-17,D-0,2025-07-17,1.5,2009.5628151563587,1989.0614436618916,2026.3111057765848,1953.0,1996.800048828125,1957.4000244140625,True,HIT
HDFCBANK.NS,2025-07-16,D-3,2025-07-13,1.5,2009.548938649047,1989.0891966765155,2026.2833527619607,1970.5999755859375,1988.699951171875,1980.5,False,MISS
HDFCBANK.NS,2025-07-16,D-2,2025-07-14,1.5,2009.548938649047,1989.0891966765155,2026.2833527619607,1976.4000244140625,2003.300048828125,1997.300048828125,True,HIT
HDFCBANK.NS,2025-07-16,D-1,2025-07-15,1.5,2009.548938649047,1989.0891966765155,2026.2833527619607,1993.0,2020.9000244140625,1996.0,True,HIT
HDFCBANK.NS,2025-07-16,D-0,2025-07-16,1.5,2009.548938649047,1989.0891966765155,2026.2833527619607,1983.0999755859375,2002.0999755859375,1985.5,True,HIT
HDFCBANK.NS,2025-07-15,D-2,2025-07-13,1.5,2009.5728112036152,1989.041451567379,2026.3310978710974,1970.5999755859375,1988.699951171875,1980.5,False,MISS
HDFCBANK.NS,2025-07-15,D-1,2025-07-14,1.5,2009.5728112036152,1989.041451567379,2026.3310978710974,1976.4000244140625,2003.300048828125,1997.300048828125,True,HIT
HDFCBANK.NS,2025-07-15,D-0,2025-07-15,1.5,2009.5728112036152,1989.041451567379,2026.3310978710974,1993.0,2020.9000244140625,1996.0,True,HIT
